course_number,course_title,Units,Type,Section,Session,Time,Seats,Registered,Instructor,Room,start_time_of_day,end_time_of_day,day_of_week
AME-491,Human Powered Vehicle Project,1.0,Lecture,28798D,001,5:00-6:20pm,25,6,Matthew Gilpin,KAP140,17,18.333333333333332,Tuesday
AME-515,Advanced Heat and Mass Diffusion,4.0 units,Lecture,28895R,048,9:00-10:50am,25,2,Satwindar Sadhal,OHE100C,9,10.833333333333334,Tuesday
AME-515,Advanced Heat and Mass Diffusion,NA,Lecture,28897D,034,9:00-10:50am,10,1,Satwindar Sadhal,DEN@Viterbi,9,10.833333333333334,Tuesday
AME-528a,Finite Element Analysis,3.0 units,Lecture,29756R,048,6:40-9:20pm,60,14,Carter Wellford,OHE132,18.666666666666668,21.333333333333332,Tuesday
AME-528a,Finite Element Analysis,NA,Lecture,29757D,034,6:40-9:20pm,10,4,Carter Wellford,DEN@Viterbi,18.666666666666668,21.333333333333332,Tuesday
AME-535a,Introduction to Computational Fluid Mechanics,3.0 units,Lecture,28896R,048,2:00-3:20pm,45,18,Alejandra Uranga,OHE100C,14,15.333333333333334,Tuesday
AME-535a,Introduction to Computational Fluid Mechanics,NA,Lecture,29065D,034,2:00-3:20pm,20,6,Alejandra Uranga,DEN@Viterbi,14,15.333333333333334,Tuesday
AME-541,Linear Control Systems II,4.0 units,Lecture,28901R,048,5:00-6:50pm,55,25,Nestor Perez Arancibia,OHE122,17,18.833333333333332,Tuesday
AME-541,Linear Control Systems II,NA,Lecture,29071D,034,5:00-6:50pm,20,7,Nestor Perez Arancibia,DEN@Viterbi,17,18.833333333333332,Tuesday
AME-551,Mechanical Behavior of Engineering Materials,4.0 units,Lecture,32178R,048,9:30-11:20am,75,25,Lessa Grunenfelder,OHE132,9.5,11.333333333333334,Tuesday
AME-551,Mechanical Behavior of Engineering Materials,NA,Lecture,32179D,034,9:30-11:20am,20,6,Lessa Grunenfelder,DEN@Viterbi,9.5,11.333333333333334,Tuesday
AME-599,"Metrology, Measurements and Testing for Manufacturing Applications",3.0,Lecture,28903R,048,5:30-8:20pm,30,14,James Nokes,VKC201,17.5,20.333333333333332,Tuesday
AMST-101mgw,Race and Class in Los Angeles,4.0 units,Lecture,10310D,001,12:30-1:50pm,150,147,Joshua Mitchell,THH301,12.5,13.833333333333334,Tuesday
AMST-135mgw,Peoples and Cultures of the Americas,4.0 units,Lecture,10320R,001,9:30-10:50am,100,96,Alicia Chavez,SGM101,9.5,10.833333333333334,Tuesday
AMST-200mg,Introduction to American Studies and Ethnicity,4.0 units,Lecture-Discussion,10345D,001,9:30-10:50am,30,30,Joshua Mitchell,VKC205,9.5,10.833333333333334,Tuesday
AMST-200mg,Introduction to American Studies and Ethnicity,NA,Lecture-Discussion,10347D,001,12:30-1:50pm,32,29,Viola Lasmana,VKC211,12.5,13.833333333333334,Tuesday
AMST-205g,Introduction to American Popular Culture,4.0 units,Lecture-Discussion,10360D,001,9:30-10:50am,50,49,Karen Tongson,SOS B4,9.5,10.833333333333334,Tuesday
AMST-252mgw,Black Social Movements in the U.S.,NA,Discussion,10386D,001,12:00-12:50pm,25,24,Chrisshonna Nieva Francille Wilson,SOSB48,12,12.833333333333334,Tuesday
AMST-252mgw,Black Social Movements in the U.S.,NA,Discussion,10387D,001,11:00-11:50am,25,20,Chrisshonna Nieva Francille Wilson,SOSB48,11,11.833333333333334,Tuesday
AMST-274mgw,Exploring Ethnicity Through Film,4.0 units,Lecture,10390R,001,11:00-12:20pm,150,148,Viola Lasmana,THH201,11,12.333333333333334,Tuesday
AMST-330m,Black Music and the Political Imagination,4.0 units,Lecture,10423D,001,9:30-10:50am,19,13,Edwin Hill,THH211,9.5,10.833333333333334,Tuesday
AMST-340m,Latina/o LA,4.0 units,Lecture,10418D,001,11:00-12:20pm,30,29,Alicia Chavez,THH119,11,12.333333333333334,Tuesday
AMST-342m,Law and Identities,4.0 units,Lecture,10421R,001,3:00-5:50pm,30,28,Alicia Chavez,THH215,15,17.833333333333332,Tuesday
AMST-353m,Race and Racism in the Americas,4.0 units,Lecture,10425D,001,5:30-6:50pm,19,14,Jorge Leal,KAP167,17.5,18.833333333333332,Tuesday
AMST-378m,Introduction to Asian American History,4.0 units,Lecture,10430D,001,2:00-3:20pm,30,9,Lon Kurashige,WPH101,14,15.333333333333334,Tuesday
AMST-392,Undergraduate Research Methods,2.0 units,Lecture,10433D,001,4:00-5:50pm,12,5,George Sanchez,GFS113,16,17.833333333333332,Tuesday
AMST-442,"American Literature, 1920 to the Present",4.0 units,Lecture,32848D,001,5:00-6:20pm,19,12,David Roman,THH213,17,18.333333333333332,Tuesday
AMST-445,African American Anthropology,4.0 units,Lecture,10637R,001,2:00-4:50pm,19,12,Lanita Jacobs,KAP159,14,16.833333333333332,Tuesday
AMST-458m,Race and Ethnicity in Entertainment and the Arts,4.0 units,Lecture,20673D,001,11:00-12:20pm,19,19,Alison Trope,ANN305,11,12.333333333333334,Tuesday
AMST-562,The Practice of Ethnography,4.0 units,Lecture,10643R,001,4:00-6:50pm,18,17,Reighan Gillam,VKC208,16,18.833333333333332,Tuesday
ANST-506,Advanced Principles of Nurse Anesthesia Practice,4.0 units,Lecture,40306R,046,8:00-1:00pm,20,20,Teresa Norris,CHP233A,8,13,Tuesday
ANST-604,Healthcare Policy for Advocacy in Health Care,3.0 units,Lecture,40325R,046,1:00-4:00pm,20,20,Jeffrey Darna,CHP233A,13,16,Tuesday
ANTH-200Lg,The Human Animal,NA,Lab,38513R,001,8:00-9:50am,20,16,Caleb Ghione,AHF B10,8,9.833333333333334,Tuesday
ANTH-200Lg,The Human Animal,NA,Lab,38517R,001,10:00-11:50am,20,19,Caleb Ghione,AHF B10,10,11.833333333333334,Tuesday
ANTH-200Lg,The Human Animal,NA,Lab,38528R,001,12:00-1:50pm,20,15,Caleb Ghione,AHF B10,12,13.833333333333334,Tuesday
ANTH-202g,Archaeology: Our Human Past,4.0 units,Lecture,10615R,001,9:30-10:50am,50,46,Kirby Farah,THH114,9.5,10.833333333333334,Tuesday
ANTH-205g,Introduction to Global Studies and Overseas Research,4.0 units,Lecture-Discussion,10618R,001,5:00-6:20pm,25,22,Emily Zeamer,KAP113,17,18.333333333333332,Tuesday
ANTH-250g,Race and Sexual Politics in Southeast Asia,4.0 units,Lecture-Discussion,10619R,001,11:00-12:20pm,25,24,Janet Hoskins,GFS222,11,12.333333333333334,Tuesday
ANTH-263g,Exploring Culture Through Film,NA,Lecture,10665R,001,11:00-12:20pm,102,98,Tracie Mayfield,SGM101,11,12.333333333333334,Tuesday
ANTH-306,Primate Social Behavior and Ecology,4.0 units,Lecture,38531D,001,11:00-12:20pm,20,18,Caitlin O'Connell,PED203,11,12.333333333333334,Tuesday
ANTH-308,Origins and Evolution of Human Behavior,4.0 units,Lecture,38530R,001,2:00-3:20pm,45,33,David Raichlen,THH116,14,15.333333333333334,Tuesday
ANTH-314g,The Nature of Maya Civilization,4.0 units,Lecture,10623R,001,12:30-1:50pm,100,92,Kirby Farah,GFS106,12.5,13.833333333333334,Tuesday
ANTH-314g,The Nature of Maya Civilization,NA,Discussion,10624R,001,8:00-8:50am,25,24,NA,VKC154,8,8.833333333333334,Tuesday
ANTH-314g,The Nature of Maya Civilization,NA,Discussion,10625R,001,11:00-11:50am,25,22,NA,WPHB26,11,11.833333333333334,Tuesday
ANTH-316mgp,Native Americans in American Public Life,4.0 units,Lecture,10680R,001,3:30-4:50pm,100,97,Tok Thompson,THH301,15.5,16.833333333333332,Tuesday
ANTH-316mgp,Native Americans in American Public Life,NA,Discussion,10681R,001,9:00-9:50am,25,24,NA,VKC111,9,9.833333333333334,Tuesday
ANTH-316mgp,Native Americans in American Public Life,NA,Discussion,10682R,001,10:00-10:50am,25,24,NA,VKC200,10,10.833333333333334,Tuesday
ANTH-370,"Sex, Love, and Marriage: An Introduction to Kinship",4.0 units,Lecture,10732R,001,11:00-12:20pm,19,14,Erin Moore,GFS221,11,12.333333333333334,Tuesday
ANTH-372,Interpretation of Myth and Narrative,4.0 units,Lecture,10632D,001,2:00-3:20pm,27,26,Tok Thompson,VKC203,14,15.333333333333334,Tuesday
ANTH-405,Evolutionary Medicine,4.0 units,Lecture,38533D,001,12:30-1:50pm,32,32,Gioia Polidori,VKC261,12.5,13.833333333333334,Tuesday
ANTH-410a,Ethnographic Field Methods and Practicum,4.0 units,Lecture,10633D,001,4:00-6:50pm,19,8,Dorinne Kondo,KAP141,16,18.833333333333332,Tuesday
ANTH-445,African American Anthropology,4.0 units,Lecture,10637R,001,2:00-4:50pm,19,12,Lanita Jacobs,KAP159,14,16.833333333333332,Tuesday
ANTH-474,Posthuman Anthropology,4.0 units,Lecture,10638R,001,5:00-6:20pm,19,6,Tok Thompson,KAP147,17,18.333333333333332,Tuesday
ANTH-562,The Practice of Ethnography,4.0 units,Lecture,10643R,001,4:00-6:50pm,18,17,Reighan Gillam,VKC208,16,18.833333333333332,Tuesday
ARAB-122,Arabic I,4.0 units,Lecture,41506D,001,1:00-1:50pm,19,11,Muhammad Alkhudair,WPH206,13,13.833333333333334,Tuesday
ARAB-122,Arabic I,NA,Lecture,41508D,001,9:00-9:50am,19,5,Muhammad Alkhudair,THH115,9,9.833333333333334,Tuesday
ARAB-152,Arabic II,4.0 units,Lecture,41514R,001,1:00-1:50pm,19,16,Sozan Wali,VKC108,13,13.833333333333334,Tuesday
ARAB-222,Arabic III,4.0 units,Lecture,41524R,001,11:00-11:50am,19,13,Sozan Wali,VKC208,11,11.833333333333334,Tuesday
ARAB-300,Introduction to Translation,4.0 units,Lecture,41540R,001,2:00-3:20pm,10,8,Muhammad Alkhudair,WPH400,14,15.333333333333334,Tuesday
ARAB-322,Advanced Arabic I,4.0 units,Lecture,41536R,001,10:00-10:50am,5,2,Sozan Wali,WPH204,10,10.833333333333334,Tuesday
ARCG-202g,Archaeology: Our Human Past,4.0 units,Lecture,10615R,001,9:30-10:50am,50,46,Kirby Farah,THH114,9.5,10.833333333333334,Tuesday
ARCG-321,Greek Art and Archaeology,4.0 units,Lecture,11923D,001,2:00-3:20pm,26,24,John Pollini,VKC260,14,15.333333333333334,Tuesday
ARCH-105L,Fundamentals of Design Communication,2.0 units,Lecture-Lab,11201D,001,2:00-5:50pm,93,86,Erin Kasimow,WAH B10,14,17.833333333333332,Tuesday
ARCH-106x,Workshop in Architecture,2.0 units,Lecture,11202D,001,2:00-3:50pm,18,16,Susanna Seierup,WAH B7,14,15.833333333333334,Tuesday
ARCH-213ag,Building Structures and Seismic Design,3.0 units,Lecture,11209D,001,2:00-3:20pm,91,80,G G Schierle,HAR101,14,15.333333333333334,Tuesday
ARCH-214bg,World History of Architecture,3.0 units,Lecture,11214D,001,4:30-5:50pm,100,86,James Steele Susanna Seierup,HAR101,16.5,17.833333333333332,Tuesday
ARCH-215,Design for the Thermal and Atmospheric Environment,3.0 units,Lecture,11215D,001,9:30-10:50am,105,81,Marc Schiler,HAR101,9.5,10.833333333333334,Tuesday
ARCH-304x,Intensive Survey: Prehistory to the Present,4.0 units,Lecture,11219R,001,6:30-8:20pm,20,14,Victoria Behner,HAR102,18.5,20.333333333333332,Tuesday
ARCH-313,Design of Building Structures,3.0 units,Lecture,11224D,001,11:00-12:20pm,110,79,Jeff Guh,HAR101,11,12.333333333333334,Tuesday
ARCH-403,Principles of Spatial Design II,4.0 units,Lecture,11403D,001,9:00-12:20pm,16,11,Takako Tajima,WAH B7,9,12.333333333333334,Tuesday
ARCH-405aL,Building Science III,4.0 units,Lecture-Lab,11241D,001,9:00-10:50am,8,8,Tigran Ayrapetyan,HAR115A,9,10.833333333333334,Tuesday
ARCH-407,Advanced Computer Applications,4.0 units,Lecture,11243R,850,6:30-8:20pm,24,18,Zachary Martin-Schoch,WPH B36,18.5,20.333333333333332,Tuesday
ARCH-442m,"Women's Spaces in History: 'Hussies,' 'Harems,' and 'Housewi",4.0 units,Lecture,11256R,001,12:30-3:20pm,24,19,Diane Ghirardo,WAH212,12.5,15.333333333333334,Tuesday
ARCH-454,Contemporary Asian Architecture,4.0 units,Lecture,11454R,001,2:00-3:50pm,16,10,James Steele,KAP166,14,15.833333333333334,Tuesday
ARCH-481,Furniture Design,NA,Lecture-Lab,11358D,001,3:30-6:20pm,14,13,Ronald Mitchell,WAH212,15.5,18.333333333333332,Tuesday
ARCH-499,Architectural Drawing,2.0,Lecture,11499D,001,11:00-1:50pm,24,23,Graeme Morland,HAR115A,11,13.833333333333334,Tuesday
ARCH-511L,Building Systems: Materials and Construction,4.0 units,Lecture-Lab,11309D,001,12:00-3:20pm,80,66,Tigran Ayrapetyan,WAH1,12,15.333333333333334,Tuesday
ARCH-523bL,Structural Design and Analysis,3.0 units,Lecture-Lab,11523D,001,9:30-10:50am,46,32,Santosh Shahi,MHP B7B,9.5,10.833333333333334,Tuesday
ARCH-539L,Media for Landscape Architecture,3.0 units,Lecture-Lab,11227D,001,10:00-12:50pm,10,10,Aroussiak Gabrielian,HAR102,10,12.833333333333334,Tuesday
ARCH-553,History of American Architecture and Urbanism,3.0 units,Lecture,11312R,001,1:00-3:50pm,24,19,Kenneth Breisch,HAR102,13,15.833333333333334,Tuesday
ARCH-560,A History of Architectural Theory: 1400-1914,2.0 units,Lecture,11560R,001,6:30-8:20pm,24,3,Diane Ghirardo,WAH212,18.5,20.333333333333332,Tuesday
ARCH-565,Global History of Landscape Architecture,3.0 units,Lecture,11260R,001,2:00-4:50pm,24,19,Alison Hirsch,HAR115A,14,16.833333333333332,Tuesday
ARCH-566,Cross Cultural Topics in Landscape Architecture History,"3.0 units, max 6",Lecture,11370D,001,6:00-8:50pm,25,21,Vinayak Bharne,HAR115A,18,20.833333333333332,Tuesday
ARCH-577L,Lighting Design,4.0 units,Lecture-Lab,11360D,001,5:00-8:20pm,15,12,Kris Sandheinrich,WAH B7,17,20.333333333333332,Tuesday
ARCH-588,Interactive Architecture: Computing and the Physical World,3.0 units,Lecture-Lab,11353D,001,9:00-11:50am,24,18,Kyle Konis,WAH1,9,11.833333333333334,Tuesday
ARCH-599,Slums and the City,2.0,Lecture,11357R,001,10:30-12:20pm,16,12,Faiza Moatasim,WAH212,10.5,12.333333333333334,Tuesday
ARCH-635,Landscape Construction: Assembly and Documentation,3.0 units,Lecture,11253D,001,8:30-9:50am,18,9,Esther Margulies,HAR102,8.5,9.833333333333334,Tuesday
ENGL-172g,The Art of Poetry,NA,Discussion,32856D,001,11:00-11:50am,25,23,Elizabeth Johnson,SOS B52,11,11.833333333333334,Tuesday
ENGL-172g,The Art of Poetry,NA,Discussion,32857D,001,12:00-12:50pm,25,23,Elizabeth Johnson,SOS B52,12,12.833333333333334,Tuesday
ENGL-176g,"Los Angeles: the City, the Novel, the Movie",NA,Discussion,32891D,001,1:00-1:50pm,25,24,Vanessa Villarreal,SOSB37,13,13.833333333333334,Tuesday
ENGL-176g,"Los Angeles: the City, the Novel, the Movie",NA,Discussion,32897D,001,12:00-12:50pm,25,23,Vanessa Villarreal,WPH B26,12,12.833333333333334,Tuesday
PHIL-260gw,Ethical Theory and Practice,4.0 units,Lecture,49472R,001,11:00-12:20pm,150,147,Robin Jeshion,MHP101,11,12.333333333333334,Tuesday
REL-359g,Culture in Diaspora: The Jews of Spain,4.0 units,Lecture-Discussion,60084R,001,11:00-12:20pm,22,22,Jessica Marglin,THH215,11,12.333333333333334,Tuesday
SLL-345g,Literature and Philosophy: Dostoevsky,4.0 units,Lecture,60234D,001,12:30-1:50pm,19,19,Greta Matzner-Gore,THH214,12.5,13.833333333333334,Tuesday
ART-105,Art and Design Studio I,4.0 units,Lecture,33796D,001,9:00-11:40am,25,21,Ruben Ochoa China Adams,WAH108,9,11.666666666666666,Tuesday
ART-105,Art and Design Studio I,NA,Lecture,33797D,001,12:00-2:40pm,25,22,Alexis Zoto Paul Donald,WAH108,12,14.666666666666666,Tuesday
ART-106,Art and Design Studio II,4.0 units,Lecture,33798D,001,9:00-11:40am,25,19,Brian O'Connell David Kelley,WAH118,9,11.666666666666666,Tuesday
ART-110,Drawing for Art and Design,NA,Lecture,33844D,001,9:00-11:40am,18,15,Marisa Mandler Lisa Oxley,WAH102A,9,11.666666666666666,Tuesday
ART-110,Drawing for Art and Design,NA,Lecture,33845D,001,6:00-8:40pm,18,13,Edgar Arceneaux,WAH102A,18,20.666666666666668,Tuesday
ART-110,Drawing for Art and Design,NA,Lecture,33846D,001,12:00-2:40pm,18,13,Robert Alderette,WAH102A,12,14.666666666666666,Tuesday
ART-120,Painting I,NA,Lecture,33880D,001,3:00-5:40pm,15,8,Robert Alderette,HAR203,15,17.666666666666668,Tuesday
ART-130,Ceramics I,4.0 units,Lecture,33361D,001,9:00-11:40am,20,17,Thomas Mueller,WAH107,9,11.666666666666666,Tuesday
ART-150,Introduction to Photography: Process and Concept,NA,Lecture,33862D,001,12:00-2:40pm,16,13,David Kelley,IFT141,12,14.666666666666666,Tuesday
ART-210,Drawing II,4.0 units,Lecture,33855D,001,3:00-5:40pm,18,10,Charla Elizabeth,WAH102A,15,17.666666666666668,Tuesday
ART-230,Wheel Throwing,NA,Lecture,33365D,001,6:00-8:40pm,17,12,Shoshi Kanokohata,WAH107,18,20.666666666666668,Tuesday
ART-255,Black and White Film and Darkroom Photography,NA,Lecture,33871D,001,3:00-5:40pm,16,12,Helen Kim,HAR211,15,17.666666666666668,Tuesday
ART-260,Introduction to Video: Projection and Virtual Worlds in Art,4.0 units,Lecture,33869D,001,12:00-2:40pm,16,15,Patty Chang,WAH6,12,14.666666666666666,Tuesday
ART-320,Advanced Painting,4.0 units,Lecture,33883D,001,12:00-2:40pm,8,5,Edgar Arceneaux,HAR201,12,14.666666666666666,Tuesday
ART-340,Sculpture II,4.0 units,Lecture,33894D,001,3:00-5:40pm,10,8,Ruben Ochoa,WAH108,15,17.666666666666668,Tuesday
ART-350,"Intermediate Photography: Studio, Field, Independent Project",4.0 units,Lecture,33875D,001,9:00-11:40am,11,11,Betsy Seder,IFT141,9,11.666666666666666,Tuesday
ART-350,"Intermediate Photography: Studio, Field, Independent Project",NA,Lecture,33877D,001,3:00-5:40pm,15,9,Julia Paull,IFT141,15,17.666666666666668,Tuesday
ART-362,"Surveillance, Art, Silence and Resistance",4.0,Lecture,33868D,001,12:00-1:50pm,20,12,Julia Paull,WAH102B,12,13.833333333333334,Tuesday
ART-370,Printmaking,NA,Lecture,33886D,001,6:00-8:40pm,10,9,Xavier Fumat,HAR117,18,20.666666666666668,Tuesday
ART-420,Topics in Advanced Painting,"4.0 units, max 12",Lecture,33884D,001,12:00-2:40pm,7,3,Edgar Arceneaux,HAR201,12,14.666666666666666,Tuesday
ART-440,Topics in Advanced Sculpture,"4.0 units, max 12",Lecture,33895D,001,3:00-5:40pm,10,2,Ruben Ochoa,WAH108,15,17.666666666666668,Tuesday
ART-470,Topics in Advanced Printmaking,"4.0 units, max 12",Lecture,33887D,001,6:00-8:40pm,10,9,Xavier Fumat,HAR117,18,20.666666666666668,Tuesday
ART-499,Performance Art Live Art Workshop,4.0,Lecture,33503D,001,9:00-11:40am,16,12,Patty Chang,WAH102B,9,11.666666666666666,Tuesday
ART-515,Visiting Artist and Scholar Seminar,"2.0 units, max 4",Lecture,33312D,001,6:00-7:50pm,22,12,Jenny Lin,"HAR101, IFT109",18,19.833333333333332,Tuesday
ART-535,Group Critique,"2.0 units, max 8",Lecture,33311D,001,2:00-4:50pm,16,13,Nao Bustamante,IFT109,14,16.833333333333332,Tuesday
ARTL-500,Arts Leadership and Arts Entrepreneurship,2.0 units,Lecture,42420D,001,10:00-11:50am,35,21,Dana Gioia Helane Anderson,KDC236,10,11.833333333333334,Tuesday
ARTL-503,Arts Organizations: Innovation and New Models,2.0 units,Lecture,42435D,001,4:00-5:50pm,20,16,Kenneth Foster,MUS303,16,17.833333333333332,Tuesday
CLAS-280gp,Classical Mythology in Art and Literature,4.0 units,Lecture,19800R,001,2:00-3:20pm,50,47,Lucas Herchenroeder,THH208,14,15.333333333333334,Tuesday
CTCS-190g,Introduction to Cinema,4.0 units,Lecture,18000D,001,2:00-5:50pm,350,336,Drew Casper Katherine Steinbach,NCT,14,17.833333333333332,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18015D,001,8:00-8:50am,25,23,NA,SCA216,8,8.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18030D,001,12:00-12:50pm,25,25,NA,SCA214,12,12.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18035D,001,1:00-1:50pm,25,24,NA,SCA203,13,13.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18040D,001,9:00-9:50am,25,24,NA,SCB101,9,9.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18055D,001,10:00-10:50am,25,24,NA,SCI L114,10,10.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18070D,001,12:00-12:50pm,25,24,NA,SCA259,12,12.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18095D,001,12:00-12:50pm,25,24,NA,SCA258,12,12.833333333333334,Tuesday
CTCS-190g,Introduction to Cinema,NA,Discussion,18340D,001,11:00-11:50am,25,25,NA,SCI L114,11,11.833333333333334,Tuesday
CTCS-200g,History of the International Cinema I,NA,Discussion,18333D,001,9:00-9:50am,25,24,NA,SCB104,9,9.833333333333334,Tuesday
CTCS-200g,History of the International Cinema I,NA,Discussion,18334D,001,10:00-10:50am,25,25,NA,SCI106,10,10.833333333333334,Tuesday
DANC-212g,Dance in Popular Culture,4.0 units,Lecture,22459R,001,3:30-5:10pm,40,40,Saleemah Knight,KDC236,15.5,17.166666666666668,Tuesday
DANC-280g,Introduction to Dance as an Art Form,NA,Lecture,22480R,001,2:00-3:40pm,30,30,Jackie Kopcsak,KDC241,14,15.666666666666666,Tuesday
DANC-280g,Introduction to Dance as an Art Form,NA,Lecture,22481R,001,10:00-11:40am,60,59,Margo Apostolos,KDC235,10,11.666666666666666,Tuesday
DANC-302g,Hip Hop Don't Stop: Exploring Black Vernacular Dance,4.0 units,Lecture,22490R,001,4:00-5:40pm,60,31,Amy O'Neal,KDC235,16,17.666666666666668,Tuesday
DANC-363g,Dancing on the Screen,4.0 units,Lecture,22535R,001,12:00-1:40pm,60,35,Dawn Stoppiello,KDC235,12,13.666666666666666,Tuesday
GESM-110g,Animals and Ideas in Ancient and Medieval Art,4.0,Lecture,35270D,001,9:30-10:50am,17,15,Andrew Griebeler,GFS229,9.5,10.833333333333334,Tuesday
GESM-110g,The Essay -- Form and Practice,4.0,Lecture,35271D,001,9:30-10:50am,17,4,David Treuer,GFS228,9.5,10.833333333333334,Tuesday
GESM-110g,What Is a Book?,4.0,Lecture,35272D,001,9:30-10:50am,16,14,Lisa Pon,VKC255,9.5,10.833333333333334,Tuesday
GESM-110g,Privacy and Interiority in the Visual Arts,4.0,Lecture,35273D,001,12:30-1:50pm,15,10,Amy Powell,THH308,12.5,13.833333333333334,Tuesday
GESM-110g,Looking at Language,4.0,Lecture,35274D,001,12:30-1:50pm,17,17,Alice Gambrell,GFS228,12.5,13.833333333333334,Tuesday
GESM-110g,Authenticity and Popular Music,4.0,Lecture,35276D,001,12:30-1:50pm,17,17,Alice Echols,WPH103,12.5,13.833333333333334,Tuesday
GESM-110g,Pioneers of the Impossibe--Poetry and Fiction through Regions of Unlikeness,4.0,Lecture,35277D,001,12:30-1:50pm,17,13,Mark Irwin,VKC255,12.5,13.833333333333334,Tuesday
GESM-110g,Listening and Making: Poetry and Its Forms,4.0,Lecture,35278D,001,12:30-1:50pm,17,16,Molly Bendall,VKC155,12.5,13.833333333333334,Tuesday
GESM-110g,Medieval Art and Christian Ritual,4.0,Lecture,35279D,001,2:00-3:20pm,17,11,Carolyn Malone,VKC154,14,15.333333333333334,Tuesday
GESM-111g,Surveillance Culture,4.0,Lecture,35291D,001,9:00-10:50am,16,12,Julia Paull,HAR211,9,10.833333333333334,Tuesday
GESM-111g,The Modern Movement in Architecture,4.0,Lecture,35294D,001,11:00-12:20pm,17,15,James Steele,VKC154,11,12.333333333333334,Tuesday
GESM-111g,Making Paintings,4.0,Lecture,35295D,001,12:00-1:50pm,15,14,Lisa Oxley,WAH118,12,13.833333333333334,Tuesday
GESM-111g,Images of the Self in Music of the Romantic Era,4.0,Lecture,35297D,001,12:00-1:50pm,17,14,Leah Morrison,KDC241,12,13.833333333333334,Tuesday
GESM-111g,Asian and Asian American Culture on Stage and Film,4.0,Lecture,35298D,001,12:00-1:50pm,18,16,Velina Hasu Houston,MCC102,12,13.833333333333334,Tuesday
GESM-111g,The Holocaust and the Creative Impulse,4.0,Lecture,35303D,001,2:00-3:50pm,17,17,Nick Strimple,MUS303,14,15.833333333333334,Tuesday
GESM-111g,Health and Fitness through Dance,4.0,Lecture,35304D,001,4:00-5:40pm,19,19,Margo Apostolos,KDC241,16,17.666666666666668,Tuesday
MUHL-350g,Western Art Music History I,4.0 units,Lecture,44009D,001,10:00-11:50am,45,35,Bruce Brown,TMC G156,10,11.833333333333334,Tuesday
MUSC-102gw,World Music,4.0 units,Lecture,47203R,001,6:00-7:50pm,150,148,Scott Spencer,THH202,18,19.833333333333332,Tuesday
MUSC-115gp,Western Music as Sounding History,4.0 units,Lecture,47208D,001,10:00-11:50am,100,97,Nathaniel Sloan,BMH100,10,11.833333333333334,Tuesday
MUSC-200mgw,The Broadway Musical: Reflections of American Diversity,4.0 units,Lecture,47213D,001,4:00-5:50pm,153,148,Parmer Fuller,THH202,16,17.833333333333332,Tuesday
MUSC-320mgw,Hip-hop Music and Culture,4.0 units,Lecture,47229D,001,2:00-3:50pm,140,133,Joanna Demers,MRF340,14,15.833333333333334,Tuesday
THTR-197g,Comedy and Performance,4.0 units,Lecture,62752D,001,2:00-3:50pm,64,57,Zachary Steel,ZHS352,14,15.833333333333334,Tuesday
ASCJ-100,The Changing World of Communication and Journalism,2.0 units,Lecture,21909D,618,4:00-6:30pm,90,33,Geoffrey Cowan Ernest Wilson,ASC204,16,18.5,Tuesday
ASCJ-200,Navigating Media and News in the Digital Age,4.0 units,Lecture,21910D,001,2:00-3:20pm,74,74,Cristina Visperas Laura Davis,ANN L105A,14,15.333333333333334,Tuesday
ASCJ-200,Navigating Media and News in the Digital Age,NA,Lecture,21911D,001,2:00-3:20pm,59,59,Cristina Visperas Laura Davis,ANN L105A,14,15.333333333333334,Tuesday
ASCJ-200,Navigating Media and News in the Digital Age,NA,Lab,21912D,001,9:00-10:20am,19,19,Justin Edwards,ANN305,9,10.333333333333334,Tuesday
ASCJ-200,Navigating Media and News in the Digital Age,NA,Lab,21914D,001,12:30-1:50pm,19,19,Elisabeth Raff,ANN405,12.5,13.833333333333334,Tuesday
ASCJ-200,Navigating Media and News in the Digital Age,NA,Lab,21915D,001,4:00-5:20pm,19,19,Justin Edwards,ANN408,16,17.333333333333332,Tuesday
ASCJ-210,Contours of Change in Media and Communication,4.0 units,Lecture,21920D,001,3:30-4:50pm,100,97,Robert Scheer,ANN L105A,15.5,16.833333333333332,Tuesday
ASTE-101L,Introduction to Astronautics,NA,Lab,29101R,001,9:30-11:20am,45,36,Paul Giuliano,SAL127,9.5,11.333333333333334,Tuesday
ASTE-291,Microsatellite Project,1.0,Lecture,29104D,001,5:00-6:20pm,20,5,David Barnhart,GFS229,17,18.333333333333332,Tuesday
ASTE-331a,Spacecraft Systems Engineering,3.0 units,Lecture,28489R,001,9:30-10:50am,35,26,Dan Erwin,KAP147,9.5,10.833333333333334,Tuesday
ASTE-491,Microsatellite Project,1.0,Lecture,29124R,001,5:00-6:20pm,20,7,David Barnhart,GFS229,17,18.333333333333332,Tuesday
