course_number,course_title,Units,Type,Section,Session,Time,Seats,Registered,Instructor,Room,start_time_of_day,end_time_of_day,day_of_week
MTAL-503,Philosophical and Advocacy Issues in Music Teaching and Learning,3.0 units,Lecture,43566D,001,5:00-7:50pm,15,8,Judy Lewis,MUS204,17,19.833333333333332,Tuesday
MTEC-245,Introduction to MIDI Sequencing,1.0 unit,Lecture,43410R,177,12:00-1:50pm,20,20,Timo Preece,TMC G147,12,13.833333333333334,Tuesday
MTEC-246,Introduction to Audio Recording and Editing,1.0 unit,Lecture,43416R,213,12:00-1:50pm,20,16,Timo Preece,TMC G147,12,13.833333333333334,Tuesday
MTEC-275,Fundamentals of Audio Engineering,4.0 units,Lecture,43427D,001,10:00-11:50am,20,19,Brian Malouf,TMC112,10,11.833333333333334,Tuesday
MTEC-444,Non-Linear MIDI Sequencing,2.0 units,Lecture,43454D,001,2:00-3:50pm,20,18,Timo Preece,TMC G147,14,15.833333333333334,Tuesday
MTEC-446a,Computer Assisted Recording and Editing,2.0 units,Lecture,43457D,001,10:00-11:50am,10,8,Rick Schmunk,TMC G147,10,11.833333333333334,Tuesday
MTEC-446a,Computer Assisted Recording and Editing,NA,Lecture,43459D,001,4:00-5:50pm,21,21,Charles Gutierrez,TMC G147,16,17.833333333333332,Tuesday
MTEC-478,Advanced Multichannel Remix,2.0 units,Lecture,43467D,001,4:00-5:50pm,13,13,Brian Malouf,MUS103,16,17.833333333333332,Tuesday
MUCD-340,Choral Conducting I,2.0 units,Lecture,43215D,001,8:30-9:50am,14,9,Daniel Strychacz,MUS106,8.5,9.833333333333334,Tuesday
MUCD-441,Choral Conducting II,2.0 units,Lecture,43245D,001,8:00-9:50am,12,8,Cristian Grases,BMH100,8,9.833333333333334,Tuesday
MUCD-443,Instrumental Conducting II,NA,Lecture,43257D,001,10:00-11:50am,12,10,Larry Livingston,MUS105,10,11.833333333333334,Tuesday
MUCD-543,Instrumental Conducting III,"2.0 units, max 4",Lecture,43300D,001,12:00-1:50pm,12,12,Larry Livingston,MUS208,12,13.833333333333334,Tuesday
MUCM-440,Choral Development,2.0 units,Lecture,42507D,001,12:00-1:50pm,15,8,Mike Scheibe,MUS319,12,13.833333333333334,Tuesday
MUCM-541,Choral Literature I,2.0 units,Lecture,42525D,001,9:30-10:50am,15,11,Nick Strimple,MUS319,9.5,10.833333333333334,Tuesday
MUCO-130ax,Basics of Music Theory,NA,Lecture,42706D,001,2:00-3:20pm,29,25,Eric N. Pham,TMC G156,14,15.333333333333334,Tuesday
MUCO-131a,Harmony in Popular Music,2.0 units,Lecture,42709D,001,9:00-9:50am,16,12,Daniel Caputo,TMC G150,9,9.833333333333334,Tuesday
MUCO-131a,Harmony in Popular Music,NA,Lecture,42710D,001,11:00-11:50am,17,17,Daniel Caputo,TMC G150,11,11.833333333333334,Tuesday
MUCO-133a,Theory I,3.0 units,Lecture,42768D,001,8:00-9:50am,22,18,Paul Hodgins,TMC G156,8,9.833333333333334,Tuesday
MUCO-133a,Theory I,NA,Lecture,42769D,001,8:00-9:50am,22,16,Chris Roze,MUS303,8,9.833333333333334,Tuesday
MUCO-133a,Theory I,NA,Lecture,42770D,001,8:00-9:50am,22,16,Georgi Dimitrov,BMH200,8,9.833333333333334,Tuesday
MUCO-133a,Theory I,NA,Lecture,42771D,001,8:00-9:50am,22,16,Veronika Krausas,MUS204,8,9.833333333333334,Tuesday
MUCO-133a,Theory I,NA,Lecture,42772D,001,8:00-9:50am,22,16,Eric N. Pham,TMC G128,8,9.833333333333334,Tuesday
MUCO-137a,Composition I,4.0 units,Lecture,42789D,001,12:00-1:50pm,15,8,Andrew Norman,"MUS204, MUS308",12,13.833333333333334,Tuesday
MUCO-233a,Theory II,3.0 units,Lecture,42854D,001,10:00-11:50am,20,19,Chris Roze,MUS303,10,11.833333333333334,Tuesday
MUCO-233a,Theory II,NA,Lecture,42856D,001,10:00-11:50am,23,24,Veronika Krausas,MUS204,10,11.833333333333334,Tuesday
MUCO-333,Aural Skills Review,1.0 unit,Lecture,42920D,001,10:00-11:50am,20,19,Neal Desby,BMH200,10,11.833333333333334,Tuesday
MUCO-338x,Elementary Orchestration,2.0 units,Lecture,42950D,001,1:00-1:50pm,20,12,Neal Desby,TMC G156,13,13.833333333333334,Tuesday
MUEN-222,Trojan Marching Band,1.0 unit,Lecture,43700R,001,4:00-5:50pm,80,46,Arthur Bartner,"OFFICE, OFFICE",16,17.833333333333332,Tuesday
MUEN-310,University Concert Choir,"1.0 units, max 8",Lecture,43725D,001,2:00-3:50pm,60,31,Cristian Grases,MUS106,14,15.833333333333334,Tuesday
MUEN-311,USC Oriana Choir,"1.0 units, max 8",Lecture,43730R,001,4:00-5:50pm,60,7,Yu Hang Tan,MUS106,16,17.833333333333332,Tuesday
MUEN-314,Opera Chorus,"1.0 units, max 8",Lecture,43740D,001,7:00-9:50pm,20,1,Brent McMunn Ken Cazan,MUS105,19,21.833333333333332,Tuesday
MUEN-322,Trojan Marching Band,"1.0 units, max 4",Lecture,43755R,001,4:00-5:50pm,80,13,Arthur Bartner,"OFFICE, OFFICE",16,17.833333333333332,Tuesday
MUEN-326,Guitar Ensemble,"1.0 units, max 8",Lecture,43774D,001,2:00-4:50pm,20,7,William Kanengiser Scott Tennant,BMH100,14,16.833333333333332,Tuesday
MUEN-330,Contemporary Music Ensemble,"1.0 units, max 8",Lecture,43830D,001,2:00-3:50pm,20,1,Donald Crockett,AES138A,14,15.833333333333334,Tuesday
MUEN-350,Early Music Ensemble,"1.0 units, max 8",Lecture,43855D,001,2:00-4:50pm,10,4,Rotem Gilbert,UGW120,14,16.833333333333332,Tuesday
MUEN-510,University Concert Choir,"1.0 units, max 4",Lecture,43886D,001,2:00-3:50pm,60,6,Cristian Grases,MUS106,14,15.833333333333334,Tuesday
MUEN-511,USC Oriana Choir,"1.0 units, max 4",Lecture,43890R,001,4:00-5:50pm,60,2,Yu Hang Tan,MUS106,16,17.833333333333332,Tuesday
MUEN-514,Opera Chorus,"1.0 units, max 4",Lecture,43899D,001,7:00-9:50pm,20,0,Brent McMunn Ken Cazan,MUS105,19,21.833333333333332,Tuesday
MUEN-526,Guitar Ensemble,"1.0 units, max 4",Lecture,43922D,001,2:00-4:50pm,20,3,William Kanengiser Scott Tennant,BMH100,14,16.833333333333332,Tuesday
MUEN-530,Contemporary Music Ensemble,"1.0 units, max 4",Lecture,43965D,001,2:00-3:50pm,20,4,Donald Crockett,AES138A,14,15.833333333333334,Tuesday
MUEN-550,Early Music Ensemble,"1.0 units, max 4",Lecture,43989D,001,2:00-4:50pm,10,2,Rotem Gilbert,UGW120,14,16.833333333333332,Tuesday
MUEN-650,Early Music Ensemble,"1.0 units, max 8",Lecture,43995D,001,2:00-4:50pm,10,5,Rotem Gilbert,UGW120,14,16.833333333333332,Tuesday
MUHL-570,Research Materials and Techniques,NA,Lecture,44059D,001,12:00-1:50pm,23,23,Andrew Justice,MUS303,12,13.833333333333334,Tuesday
MUHL-588,Special Studies in Music Since 1900,NA,Lecture,44110D,001,12:00-1:50pm,25,25,Tim Page,KDC236,12,13.833333333333334,Tuesday
MUHL-591,Seminar in Baroque Repertories and Performance Practice,2.0 units,Lecture,44118D,001,10:00-11:50am,17,14,Rotem Gilbert,UGW120,10,11.833333333333334,Tuesday
MUHL-681,Studies in Musicology,"4.0 units, max 16",Lecture,44149D,001,5:00-7:50pm,15,5,Sean Nye,MUS319,17,19.833333333333332,Tuesday
MUIN-270,Introduction to the Music Industry,4.0 units,Lecture,44205D,001,12:00-1:50pm,60,54,Michael Garcia Andrae Alexander,KDC240,12,13.833333333333334,Tuesday
MUIN-272x,Basics of the Music Industry,4.0 units,Lecture,44209D,001,4:00-5:50pm,60,59,Michael Garcia,KDC240,16,17.833333333333332,Tuesday
MUIN-360,Introduction to Music Law,4.0 units,Lecture,44240D,001,6:00-7:50pm,36,36,Mark Goldstein,TMC G156,18,19.833333333333332,Tuesday
MUIN-372,Business and Legal Aspects of the Music Industry,4.0 units,Lecture,44247D,001,2:00-3:50pm,60,59,Andrew Leff Michael Garcia,KDC240,14,15.833333333333334,Tuesday
MUIN-410,"Marketing, Branding and Strategic Alliances in Music",2.0 units,Lecture,44256D,001,6:00-7:50pm,43,43,Kevin Lyman,KDC240,18,19.833333333333332,Tuesday
MUIN-425,Live Music Production and Promotion,4.0 units,Lecture,44264D,001,12:00-1:50pm,75,75,Michael Garcia Michael Kaminsky,CTV136A,12,13.833333333333334,Tuesday
MUIN-496,Music Media Solutions,4.0 units,Lecture,44314D,001,4:00-5:50pm,20,20,Kevin Lyman,TMC G150,16,17.833333333333332,Tuesday
MUIN-497,Artist and Repertoire,2.0,Lecture,44321D,001,7:00-8:50pm,25,25,Brian Malouf,TMC112,19,20.833333333333332,Tuesday
MUIN-510,"The Music Industry: Careers, Rights and Income Streams",4.0 units,Lecture,44336D,001,10:00-11:50am,25,25,Andrae Alexander Michael Garcia,KDC241,10,11.833333333333334,Tuesday
MUIN-512,The Management of Live Performances,2.0 units,Lecture,44342D,001,2:00-3:50pm,24,24,Michael Garcia,TMC112,14,15.833333333333334,Tuesday
MUIN-522,"Music Marketing, Branding and Campaigns",3.0 units,Lecture,44356D,001,12:00-1:20pm,24,24,Kevin Lyman,TMC112,12,13.333333333333334,Tuesday
MUIN-540,Artist Management: Campaign Execution and Hindsight Analysis,2.0 units,Lecture,44374D,001,6:00-7:50pm,24,19,Trudy Green,KDC241,18,19.833333333333332,Tuesday
MUIN-542,Developing Copyright Laws and Business Models,3.0 units,Lecture,44380D,001,4:30-5:50pm,24,20,Mark Goldstein,TMC112,16.5,17.833333333333332,Tuesday
MUJZ-305a,Advanced Jazz Theory,2.0 units,Lecture,44531D,001,10:00-10:50am,25,24,Jason Goldman,TMC G128,10,10.833333333333334,Tuesday
MUJZ-400,Arranging for Jazz Ensemble,2.0 units,Lecture,44595D,001,12:00-12:50pm,20,7,Jason Goldman,TMC G128,12,12.833333333333334,Tuesday
MUSC-255,Songwriting I,NA,Lecture,47227D,001,4:00-5:50pm,26,26,Andrea Stolpe,TMC G102B,16,17.833333333333332,Tuesday
MUSC-355,Songwriting II,2.0 units,Lecture,47234R,001,6:00-7:50pm,25,23,Andrea Stolpe,TMC G102B,18,19.833333333333332,Tuesday
MUSC-460,Film Music: History and Function From 1930 to the Present,4.0 units,Lecture,47266R,001,4:00-5:50pm,60,39,Daniel Carlin Tim Greiving,TMC G156,16,17.833333333333332,Tuesday
NAUT-001ax,Deepwater Cruising,NA,Lecture,41855R,001,6:00-8:50pm,45,11,John K Ugoretz,VKC102,18,20.833333333333332,Tuesday
NEUR-421,Neurobiology,NA,Discussion,13401R,001,2:00-3:50pm,25,22,Ahyun Jung,ZHS360,14,15.833333333333334,Tuesday
NSC-135,Introduction to Naval Science,2.0 units,Lecture,41900R,001,10:00-11:50am,45,16,Matthew Cox Nicholas Smith,PED300,10,11.833333333333334,Tuesday
NURS-500,Bridge Course,2.0 units,Lecture,69000D,374,10:00-12:00pm,10,7,Christa Bancroft Sharon O'Neill,VAC,10,12,Tuesday
NURS-500,Bridge Course,NA,Lecture,69001D,374,1:00-3:00pm,10,8,Christa Bancroft Sharon O'Neill,VAC,13,15,Tuesday
NURS-501,Pathophysiology for Advanced Nursing Practice,4.0 units,Lecture,69003D,353,10:00-11:30am,11,9,Loretta Rock,VAC,10,11.5,Tuesday
NURS-501,Pathophysiology for Advanced Nursing Practice,NA,Lecture,69004D,353,6:00-7:30pm,11,5,Michelle Zappas,VAC,18,19.5,Tuesday
NURS-502,Advanced Health Assessment Across the Life Span,3.0 units,Lecture,69007D,353,2:30-3:45pm,7,5,Janett Hildebrand,VAC,14.5,15.75,Tuesday
NURS-502,Advanced Health Assessment Across the Life Span,NA,Lecture,69008D,353,4:15-5:30pm,7,5,Janett Hildebrand,VAC,16.25,17.5,Tuesday
NURS-503,Theory: Clinical Management of Adult Patients,3.0 units,Lecture,69013D,353,2:30-3:45pm,12,11,Cynthia Sanchez,VAC,14.5,15.75,Tuesday
NURS-504,Pharmacology for Advanced Practice Nursing,3.0 units,Lecture,69016D,353,11:00-12:15pm,14,14,Janett Hildebrand,VAC,11,12.25,Tuesday
NURS-505,Clinical Practicum: Management of Adult Patients,3.0 units,Lecture,69019D,353,2:45-3:45pm,6,3,Amber Richert,VAC,14.75,15.75,Tuesday
NURS-505,Clinical Practicum: Management of Adult Patients,NA,Lecture,69020D,353,4:15-5:15pm,6,6,Amber Richert,VAC,16.25,17.25,Tuesday
NURS-505,Clinical Practicum: Management of Adult Patients,NA,Lecture,69021D,353,6:00-7:00pm,6,5,Nakisha Sattelmaier,VAC,18,19,Tuesday
NURS-507,Theory: Clinical Management of the Childbearing/Childrearing,3.0 units,Lecture,69027D,353,11:00-12:15pm,13,5,Tracie Kirkland,VAC,11,12.25,Tuesday
NURS-507,Theory: Clinical Management of the Childbearing/Childrearing,NA,Lecture,69028D,353,12:45-2:00pm,13,10,Tracie Kirkland,VAC,12.75,14,Tuesday
NURS-600,Theory: Clinical Management of Adult Patients with Complex M,3.0 units,Lecture,69031D,353,12:45-2:00pm,13,13,Benita Walton-Moss,VAC,12.75,14,Tuesday
NURS-600,Theory: Clinical Management of Adult Patients with Complex M,NA,Lecture,69032D,353,2:30-3:45pm,13,13,Lindsey Plato-Johnson,VAC,14.5,15.75,Tuesday
NURS-601,Clinical Practicum: Management of the Childbearing/Childrear,3.0 units,Lecture,69035D,353,4:15-5:15pm,7,7,Lindsey Plato-Johnson,VAC,16.25,17.25,Tuesday
NURS-601,Clinical Practicum: Management of the Childbearing/Childrear,NA,Lecture,69036D,353,4:15-5:15pm,7,6,Kathleen Porter,VAC,16.25,17.25,Tuesday
NURS-601,Clinical Practicum: Management of the Childbearing/Childrear,NA,Lecture,69037D,353,5:45-6:45pm,6,6,Kathleen Porter,VAC,17.75,18.75,Tuesday
NURS-602,Research/Analytical Methods,3.0 units,Lecture,69041D,353,11:00-12:15pm,14,14,Joan Kub,VAC,11,12.25,Tuesday
NURS-603,Transforming Research Evidence into Practice,3.0 units,Lecture,69044D,353,11:00-12:15pm,11,10,Kathleen Becker,VAC,11,12.25,Tuesday
NURS-603,Transforming Research Evidence into Practice,NA,Lecture,69045D,353,12:45-2:00pm,11,11,Kathleen Becker,VAC,12.75,14,Tuesday
NURS-604,Clinical Practicum: Management of Adult Patients with Comple,3.0 units,Lecture,69048D,353,4:15-5:15pm,7,7,Cynthia Sanchez,VAC,16.25,17.25,Tuesday
NURS-604,Clinical Practicum: Management of Adult Patients with Comple,NA,Lecture,69049D,353,5:45-6:45pm,7,6,Cynthia Sanchez,VAC,17.75,18.75,Tuesday
NURS-605,Professional Issues in Advanced Practice Nursing,2.0 units,Lecture,69055D,353,12:45-1:35pm,14,12,Joan Kub,VAC,12.75,13.583333333333334,Tuesday
